Nom,N° OFS1,Population,Superficie (km2),Densité (hab./km2)
Aire-la-Ville,6601,1145,2.93,391
Anières,6602,2417,3.86,626
Avully,6603,1708,4.61,370
Avusy,6604,1377,5.19,265
Bardonnex,6605,2531,5,506
Bellevue,6606,4075,4.35,937
Bernex,6607,10250,12.95,792
Carouge,6608,22164,2.7,8209
Cartigny,6609,1021,4.38,233
Céligny,6610,845,4.65,182
Chancy,6611,1671,5.36,312
Chêne-Bougeries,6612,13261,4.13,3211
Chêne-Bourg,6613,8836,1.28,6903
Choulex,6614,1222,3.91,313
Collex-Bossy,6615,1727,6.89,251
Collonge-Bellerive,6616,8496,6.12,1388
Cologny,6617,5970,3.67,1627
Confignon,6618,4593,2.77,1658
Corsier,6619,2267,2.74,827
Dardagny,6620,1799,8.6,209
Genève,6621,203840,15.93,12796
Genthod,6622,2884,2.87,1005
Gy,6624,499,3.28,152
Hermance,6625,1189,1.44,826
Jussy,6626,1193,11.35,105
Laconnex,6627,703,3.83,184
Lancy,6628,34656,4.77,7265
Le Grand-Saconnex,6623,12607,4.38,2878
Meinier,6629,2069,6.96,297
Meyrin,6630,26517,9.94,2668
Onex,6631,18773,2.82,6657
Perly-Certoux,6632,3141,2.53,1242
Plan-les-Ouates,6633,12088,5.86,2063
Pregny-Chambésy,6634,3992,3.24,1232
Presinge,6635,737,4.72,156
Puplinge,6636,2527,2.66,950
Russin,6637,536,4.91,109
Satigny,6638,4449,18.92,235
Soral,6639,963,2.95,326
Thônex,6640,16115,3.84,4197
Troinex,6641,2600,3.42,760
Vandœuvres,6642,2851,4.41,646
Vernier,6643,36572,7.68,4762
Versoix,6644,13337,10.51,1269
Veyrier,6645,11901,6.5,1831
Partie du Léman,9760,0,36.67,0
Total,514114,282.48,1820
